,Date,Open,High,Low,Close,Adj Close,Volume
2447,2010-09-27,1148.640015,1149.920044,1142.0,1142.160034,1142.160034,3587860000
2448,2010-09-28,1142.310059,1150.0,1132.089966,1147.699951,1147.699951,4025840000
2449,2010-09-29,1146.75,1148.630005,1140.26001,1144.72998,1144.72998,3990280000
2450,2010-09-30,1145.969971,1157.160034,1136.079956,1141.199951,1141.199951,4284160000
2451,2010-10-01,1143.48999,1150.300049,1139.420044,1146.23999,1146.23999,4298910000
2452,2010-10-04,1144.959961,1148.160034,1131.869995,1137.030029,1137.030029,3604110000
2453,2010-10-05,1140.680054,1162.76001,1140.680054,1160.75,1160.75,4068840000
2454,2010-10-06,1159.810059,1162.329956,1154.849976,1159.969971,1159.969971,4073160000
2455,2010-10-07,1161.569946,1163.869995,1151.410034,1158.060059,1158.060059,3910550000
2456,2010-10-08,1158.359985,1167.72998,1155.579956,1165.150024,1165.150024,3871420000
2457,2010-10-11,1165.319946,1168.680054,1162.02002,1165.319946,1165.319946,2505900000
2458,2010-10-12,1164.280029,1172.579956,1155.709961,1169.77002,1169.77002,4076170000
2459,2010-10-13,1171.319946,1184.380005,1171.319946,1178.099976,1178.099976,4969410000
2460,2010-10-14,1177.819946,1178.890015,1166.709961,1173.810059,1173.810059,4969410000
2461,2010-10-15,1177.469971,1181.199951,1167.119995,1176.189941,1176.189941,5724910000
2462,2010-10-18,1176.829956,1185.530029,1174.550049,1184.709961,1184.709961,4450050000
2463,2010-10-19,1178.640015,1178.640015,1159.709961,1165.900024,1165.900024,5600120000
2464,2010-10-20,1166.73999,1182.939941,1166.73999,1178.170044,1178.170044,5027880000
2465,2010-10-21,1179.819946,1189.430054,1171.170044,1180.26001,1180.26001,4625470000
2466,2010-10-22,1180.52002,1183.930054,1178.98999,1183.079956,1183.079956,3177890000
2467,2010-10-25,1184.73999,1196.140015,1184.73999,1185.619995,1185.619995,4221380000
2468,2010-10-26,1184.880005,1187.109985,1177.719971,1185.640015,1185.640015,4203680000
2469,2010-10-27,1183.839966,1183.839966,1171.699951,1182.449951,1182.449951,4335670000
2470,2010-10-28,1184.469971,1189.530029,1177.099976,1183.780029,1183.780029,4283460000
2471,2010-10-29,1183.869995,1185.459961,1179.699951,1183.26001,1183.26001,3537880000
2472,2010-11-01,1185.709961,1195.810059,1177.650024,1184.380005,1184.380005,4129180000
2473,2010-11-02,1187.859985,1195.880005,1187.859985,1193.569946,1193.569946,3866200000
2474,2010-11-03,1193.790039,1198.300049,1183.560059,1197.959961,1197.959961,4665480000
2475,2010-11-04,1198.339966,1221.25,1198.339966,1221.060059,1221.060059,5695470000
2476,2010-11-05,1221.199951,1227.079956,1220.290039,1225.849976,1225.849976,5637460000
2477,2010-11-08,1223.23999,1224.569946,1217.550049,1223.25,1223.25,3937230000
2478,2010-11-09,1223.589966,1226.839966,1208.939941,1213.400024,1213.400024,4848040000
2479,2010-11-10,1213.140015,1218.75,1204.329956,1218.709961,1218.709961,4561300000
2480,2010-11-11,1213.040039,1215.449951,1204.48999,1213.540039,1213.540039,3931120000
2481,2010-11-12,1209.069946,1210.5,1194.079956,1199.209961,1199.209961,4213620000
2482,2010-11-15,1200.439941,1207.430054,1197.150024,1197.75,1197.75,3503370000
2483,2010-11-16,1194.790039,1194.790039,1173.0,1178.339966,1178.339966,5116380000
2484,2010-11-17,1178.329956,1183.560059,1175.819946,1178.589966,1178.589966,3904780000
2485,2010-11-18,1183.75,1200.290039,1183.75,1196.689941,1196.689941,4687260000
2486,2010-11-19,1196.119995,1199.969971,1189.439941,1199.72998,1199.72998,3675390000
2487,2010-11-22,1198.069946,1198.939941,1184.579956,1197.839966,1197.839966,3689500000
2488,2010-11-23,1192.51001,1192.51001,1176.910034,1180.72998,1180.72998,4133070000
2489,2010-11-24,1183.699951,1198.619995,1183.699951,1198.349976,1198.349976,3384250000
2490,2010-11-26,1194.160034,1194.160034,1186.930054,1189.400024,1189.400024,1613820000
2491,2010-11-29,1189.079956,1190.339966,1173.640015,1187.76001,1187.76001,3673450000
2492,2010-11-30,1182.959961,1187.400024,1174.140015,1180.550049,1180.550049,4284700000
2493,2010-12-01,1186.599976,1207.609985,1186.599976,1206.069946,1206.069946,4548110000
2494,2010-12-02,1206.810059,1221.890015,1206.810059,1221.530029,1221.530029,4970800000
2495,2010-12-03,1219.930054,1225.569946,1216.819946,1224.709961,1224.709961,3735780000
2496,2010-12-06,1223.869995,1225.800049,1220.670044,1223.119995,1223.119995,3527370000
2497,2010-12-07,1227.25,1235.050049,1223.25,1223.75,1223.75,6970630000
2498,2010-12-08,1225.02002,1228.930054,1219.5,1228.280029,1228.280029,4607590000
2499,2010-12-09,1230.140015,1234.709961,1226.849976,1233.0,1233.0,4522510000
2500,2010-12-10,1233.849976,1240.400024,1232.579956,1240.400024,1240.400024,4547310000
2501,2010-12-13,1242.52002,1246.72998,1240.339966,1240.459961,1240.459961,4361240000
2502,2010-12-14,1241.839966,1246.589966,1238.170044,1241.589966,1241.589966,4132350000
2503,2010-12-15,1241.579956,1244.25,1234.01001,1235.22998,1235.22998,4407340000
2504,2010-12-16,1236.339966,1243.75,1232.849976,1242.869995,1242.869995,4736820000
2505,2010-12-17,1243.630005,1245.810059,1239.869995,1243.910034,1243.910034,4632470000
2506,2010-12-20,1245.76001,1250.199951,1241.51001,1247.079956,1247.079956,3548140000
2507,2010-12-21,1249.430054,1255.819946,1249.430054,1254.599976,1254.599976,3479670000
2508,2010-12-22,1254.939941,1259.390015,1254.939941,1258.839966,1258.839966,1285590000
2509,2010-12-23,1257.530029,1258.589966,1254.050049,1256.77002,1256.77002,2515020000
2510,2010-12-27,1254.660034,1258.430054,1251.47998,1257.540039,1257.540039,1992470000
2511,2010-12-28,1259.099976,1259.900024,1256.219971,1258.51001,1258.51001,2478450000
2512,2010-12-29,1258.780029,1262.599976,1258.780029,1259.780029,1259.780029,2214380000
2513,2010-12-30,1259.439941,1261.089966,1256.319946,1257.880005,1257.880005,1970720000
2514,2010-12-31,1256.76001,1259.339966,1254.189941,1257.640015,1257.640015,1799770000
